LOG_ID,BDD,USUARIO,IP,PID,FECHA_1,HORA_1,FECHA_Y_HORA,COMANDO,DURACION,RESULTADO
111,prueba,karen,192.168.1.79,10028,2020-11-25,12:52:14.332,2020-11-25 12:52:13,idle,0.0,OK
112,prueba,karen,192.168.1.79,10047,2020-11-25,12:52:23.474,2020-11-25 12:52:23,authentication,0.0,OK
113,prueba,karen,192.168.1.79,10047,2020-11-25,12:52:23.503,2020-11-25 12:52:23,SET,0.186,OK
114,prueba,karen,192.168.1.79,10047,2020-11-25,12:52:23.536,2020-11-25 12:52:23,SELECT,1.688,OK
115,prueba,karen,192.168.1.79,10047,2020-11-25,12:53:23.567,2020-11-25 12:53:23,SELECT,2.789,OK
116,prueba,karen,192.168.1.79,10047,2020-11-25,12:53:23.660,2020-11-25 12:53:23,SELECT,1.726,OK
117,prueba,karen,192.168.1.79,10047,2020-11-25,12:53:25.885,2020-11-25 12:53:23,SELECT,0.454,OK
118,prueba,karen,192.168.1.79,10047,2020-11-25,12:53:25.916,2020-11-25 12:53:23,SELECT,0.585,OK
119,prueba,karen,192.168.1.79,10047,2020-11-25,12:54:25.945,2020-11-25 12:54:23,SELECT,0.533,OK
120,prueba,karen,192.168.1.79,10047,2020-11-25,12:54:25.976,2020-11-25 12:54:23,idle,0.0,OK
121,prueba,karen,192.168.1.79,10079,2020-11-25,12:54:37.117,2020-11-25 12:54:37,,0.0,OK
122,prueba,karen,192.168.1.79,10079,2020-11-25,12:54:37.191,2020-11-25 12:54:37,authentication,0.0,OK
123,prueba,karen,192.168.1.79,10079,2020-11-25,12:55:37.223,2020-11-25 12:55:37,SET,0.208,OK
124,prueba,karen,192.168.1.79,10079,2020-11-25,12:55:37.255,2020-11-25 12:55:37,SELECT,2.339,OK
125,prueba,karen,192.168.1.79,10079,2020-11-25,12:55:37.287,2020-11-25 12:55:37,SELECT,4.376,OK
126,prueba,karen,192.168.1.79,10079,2020-11-25,12:55:37.378,2020-11-25 12:55:37,SELECT,2.125,OK
